NM_001005484	OR4F5
NM_007237	SP140
NM_138402	SP140L
NM_001080391	SP100
NM_001130850	CAB39
NM_001287241	ITM2C
NM_005683	GPR55
NM_139073	SPATA3
NM_001144994	C2orf72
NM_002807	PSMD1
NM_000867	HTR2B
NM_001271466	ARMC9
NM_145236	B3GNT7
ENST00000370380	AC017104.2
NM_005381	NCL
NM_006056	NMUR1
NM_152614	C2orf57
ENST00000595658	MGC4771
NM_001099285	PTMA
NM_002601	PDE6D
NM_001282950	COPS7B
NM_024409	NPPC
NM_152383	DIS3L2
NM_001632	ALPP
NM_031313	ALPPL2
NM_001631	ALPI
NM_004826	ECEL1
NM_001195129	PRSS56
NM_000751	CHRND
NM_005199	CHRNG
NM_145702	TIGD1
NM_004846	EIF4E2
NM_025202	EFHD1
NM_001103147	GIGYF2
NM_002242	KCNJ13
NM_206895	C2orf82
NM_019850	NGEF
ENST00000409905	AC106876.2
NM_005383	NEU2
NM_001017915	INPP5D
NM_030803	ATG16L1
NM_000541	SAG
NM_152879	DGKD
NM_018218	USP40
NM_019076	UGT1A8
NM_019075	UGT1A10
NM_021027	UGT1A9
NM_019077	UGT1A7
NM_001072	UGT1A6
NM_019078	UGT1A5
NM_007120	UGT1A4
NM_019093	UGT1A3
NM_001001394	DNAJB3
NM_000463	UGT1A1
NM_001287395	MROH2A
NM_018410	HJURP
NM_024080	TRPM8
NM_006944	SPP2
NM_001282431	ARL4C
NM_014521	SH3BP4
NM_001037131	AGAP1
ENST00000440101	AC064874.1
NM_001485	GBX2
NM_212556	ASB18
NM_001270585	IQCA1
NM_020311	ACKR3
NM_006710	COPS8
ENST00000445534	AC112715.2
NM_004369	COL6A3
ENST00000409162	AC112721.1
NM_024101	MLPH
NM_015893	PRLH
NM_022449	RAB17
ENST00000452801	AC104667.3
NM_001137550	LRRFIP1
NM_001080504	RBM44
NM_005855	RAMP1
NM_080678	UBE2F
ENST00000449191	UBE2F-SCLY
NM_016510	SCLY
NM_194312	ESPNL
NM_198582	KLHL30
NM_001291832	FAM132B
NM_030768	ILKAP
ENST00000409070	AC016757.3
NM_018645	HES6
NM_022817	PER2
ENST00000598920	AC012485.1
NM_015650	TRAF3IP1
NM_001040445	ASB1
NM_001271893	TWIST2
NM_006037	HDAC4
ENST00000396489	AC017028.1
ENST00000413029	AC062017.1
ENST00000358775	AC079612.1
ENST00000407524	AC093802.1
NM_004544	NDUFA10
NM_001005853	OR6B2
NM_001080835	PRR21
NM_173351	OR6B3
ENST00000593909	AC013469.1
NM_138336	MYEOV2
NM_148961	OTOS
NM_002081	GPC1
ENST00000404327	AC110619.2
NM_001282771	ANKMY1
NM_001033575	DUSP28
NM_018226	RNPEPL1
NM_023083	CAPN10
NM_001195382	GPR35
NM_001102467	AQP12B
ENST00000599492	AC011298.1
NM_198998	AQP12A
NM_001244008	KIF1A
NM_000030	AGXT
NM_001085437	C2orf54
ENST00000430980	AC104809.3
NM_001080437	SNED1
NM_182501	MTERFD2
NM_001252119	PASK
NM_002712	PPP1R7
NM_001001891	ANO7
ENST00000601871	AC104841.2
NM_203346	HDLBP
NM_001282972	SEPT2
NM_014808	FARP2
NM_006374	STK25
NM_032515	BOK
NM_015963	THAP4
NM_013325	ATG4B
NM_012145	DTYMK
NM_032329	ING5
NM_152783	D2HGDH
NM_022134	GAL3ST2
NM_001167599	NEU4
NM_005018	PDCD1
ENST00000343216	CXXC11
NM_173821	RTP5
ENST00000452112	AC131097.4
NM_153325	DEFB125
NM_030931	DEFB126
NM_139074	DEFB127
NM_001037732	DEFB128
NM_080831	DEFB129
NM_207469	DEFB132
NM_153269	C20orf96
NM_033089	ZCCHC3
NM_006943	SOX12
NM_024958	NRSN2
NM_001301201	TRIB3
NM_031229	RBCK1
NM_144628	TBC1D20
NM_001895	CSNK2A1
NM_004609	TCF15
NM_080725	SRXN1
ENST00000488788	RP5-850E9.3
NM_033129	SCRT2
NM_033409	SLC52A3
NM_001042353	FAM110A
NM_015985	ANGPT4
NM_001029871	RSPO4
NM_006814	PSMF1
NM_018354	TMEM74B
NM_001009612	C20orf202
NM_001136566	RAD21L1
NM_014723	SNPH
NM_080489	SDCBP2
ENST00000537552	AL136531.1
NM_054014	FKBP1A
NM_001206736	NSFL1C
NM_001122962	SIRPB2
NM_178460	SIRPD
ENST00000567028	RP4-576H24.4
NM_006065	SIRPB1
NM_018556	SIRPG
NM_001040023	SIRPA
NM_001190898	PDYN
NM_080836	STK35
NM_001287682	LOC388780
NM_003245	TGM3
NM_198994	TGM6
NM_198216	SNRPB
ENST00000461548	RP4-734P14.4
NM_001282497	ZNF343
NM_080751	TMC2
NM_006392	NOP56
NM_006899	IDH3B
NM_001110514	EBF4
NM_019609	CPXM1
NM_080739	C20orf141
NM_001167670	TMEM239
NM_022760	PCED1A
NM_022575	VPS16
NM_002836	PTPRA
NM_001501	GNRH2
NM_030811	MRPS26
NM_000915	OXT
NM_000490	AVP
NM_014948	UBOX5
NM_021826	FASTKD5
NM_001282533	LZTS3
NM_023935	DDRGK1
NM_033453	ITPA
NM_001174090	SLC4A11
NM_001009984	C20orf194
NM_139321	ATRN
NM_145762	GFRA4
NM_025220	ADAM33
NM_023068	SIGLEC1
NM_052970	HSPA12B
NM_001039140	C20orf27
NM_015417	SPEF1
NM_001810	CENPB
NM_021873	CDC25B
NM_001204447	AP5S1
NM_020746	MAVS
NM_153638	PANK2
NM_001134338	RNF24
ENST00000379526	RP11-352D3.2
NM_001270691	SMOX
NM_000678	ADRA1D
NM_183079	PRNP
NM_012409	PRND
ENST00000418528	PRNT
NM_014737	RASSF2
NM_005116	SLC23A2
NM_001009923	TMEM230
NM_002592	PCNA
NM_003818	CDS2
NM_144773	PROKR2
NM_019593	GPCPD1
NM_152504	C20orf196
NM_001819	CHGB
NM_015939	TRMT6
NM_001281521	MCM8
NM_019095	CRLS1
NM_152611	LRRN4
NM_017671	FERMT1
NM_001200	BMP2
NM_017545	HAO1
NM_021156	TMX4
NM_015192	PLCB1
NM_000933	PLCB4
NM_012261	LAMP5
NM_177990	PAK7
NM_022096	ANKEF1
NM_130811	SNAP25
NM_018848	MKKS
NM_001009608	SLX4IP
NM_000214	JAG1
ENST00000378252	C20orf187
NM_181443	BTBD3
NM_018327	SPTLC3
NM_080826	ISM1
NM_017714	TASP1
NM_016649	ESF1
NM_024120	NDUFAF5
NM_001271539	SEL1L2
NM_080676	MACROD2
NM_198391	FLRT3
NM_001199866	KIF16B
NM_003092	SNRPB2
NM_020157	OTOR
NM_002594	PCSK2
NM_001195	BFSP1
NM_006870	DSTN
NM_004587	RRBP1
NM_001159495	BANF2
NM_014426	SNX5
NM_052865	MGME1
NM_021220	OVOL2
NM_001164811	PET117
NM_020536	CSRP2BP
NM_001282996	ZNF133
NM_001099407	DZANK1
NM_006466	POLR3F
NM_006606	RBBP9
NM_032986	SEC23B
NM_080820	DTD1
NM_001242671	C20orf78
NM_178483	SCP2D1
NM_020689	SLC24A3
ENST00000598007	AL121761.2
NM_001242581	RIN2
NM_016100	NAA20
NM_016652	CRNKL1
NM_015585	C20orf26
NM_002196	INSM1
NM_020343	RALGAPA2
NM_018474	KIZ
NM_012255	XRN2
NM_033176	NKX2-4
NM_002509	NKX2-2
NM_006192	PAX1
NM_021784	FOXA2
NM_001052	SSTR4
NM_000361	THBD
NM_012072	CD93
ENST00000596205	AL096677.1
NM_013248	NXT1
NM_022482	GZF1
NM_001283018	NAPB
NM_138283	CSTL1
NM_130794	CST11
NM_001281730	CST8
NM_080610	CST9L
NM_001008693	CST9
NM_000099	CST3
NM_001899	CST4
NM_001898	CST1
NM_001322	CST2
NM_001900	CST5
NM_178312	GGTLC1
NM_024893	SYNDIG1
NM_003650	CST7
NM_020531	APMAP
NM_032501	ACSS1
NM_014588	VSX1
NM_001247	ENTPD6
ENST00000593352	AL035252.1
NM_002862	PYGB
NM_015600	ABHD12
NM_021067	GINS1
NM_025176	NINL
NM_152667	NANP
NM_001290261	ZNF337
ENST00000376403	FAM182B
ENST00000358464	FRG1B
NM_001037730	DEFB115
NM_001037731	DEFB116
NM_054112	DEFB118
NM_153323	DEFB119
NM_001011878	DEFB121
NM_153324	DEFB123
NM_001037500	DEFB124
NM_014012	REM1
NM_178581	HM13
NM_002165	ID1
NM_032609	COX4I2
NM_138578	BCL2L1
ENST00000597287	AL160175.1
NM_012112	TPX2
NM_033118	MYLK2
NM_004118	FOXS1
NM_080611	DUSP15
NM_001008409	TTLL9
NM_030815	PDRG1
NM_001011718	XKR7
NM_080625	CCM2L
NM_002110	HCK
NM_014742	TM9SF4
NM_002657	PLAGL2
NM_015352	POFUT1
NM_004798	KIF3B
NM_015338	ASXL1
ENST00000359676	C20orf112
NM_001256798	NOL4L
ENST00000375670	RP11-410N8.4
NM_182584	C20orf203
NM_053041	COMMD7
NM_006892	DNMT3B
NM_012325	MAPRE1
ENST00000400522	EFCAB8
NM_080675	SUN5
NM_025227	BPIFB2
NM_174897	BPIFB6
NM_182658	BPIFB3
NM_182519	BPIFB4
NM_080574	BPIFA2
NM_178466	BPIFA3
ENST00000601172	AL121901.1
NM_130852	BPIFA1
NM_033197	BPIFB1
NM_016082	CDK5RAP1
NM_003098	SNTA1
NM_005093	CBFA2T2
NM_031232	NECAB3
NM_080825	C20orf144
NM_001024675	ACTL10
NM_005225	E2F1
NM_007238	PXMP4
NM_001282933	ZNF341
NM_176812	CHMP4B
NM_016732	RALY
NM_003908	EIF2S2
NM_001672	ASIP
NM_000687	AHCY
NM_001257137	ITCH
NM_014183	DYNLRB1
NM_181509	MAP1LC3A
NM_080476	PIGU
NM_021202	TP53INP2
NM_014071	NCOA6
NM_178026	GGT7
NM_001076552	ACSS2
NM_000178	GSS
NM_020884	MYH7B
NM_015638	TRPC4AP
NM_018217	EDEM2
NM_006404	PROCR
NM_006690	MMP24
NM_181468	EIF6
NM_178468	FAM83C
NM_018244	UQCC1
NM_000557	GDF5
ENST00000374375	GDF5OS
NM_007186	CEP250
NM_001145350	C20orf173
NM_198398	ERGIC3
NM_003116	SPAG4
NM_003915	CPNE1
NM_001198840	RBM12
ENST00000541176	RP1-309K20.6
NM_021100	NFS1
NM_080748	ROMO1
NM_184234	RBM39
NM_016436	PHF20
NM_033630	SCAND1
NM_080834	CNBD2
ENST00000597622	AL121895.1
NM_012156	EPB41L1
NM_001271874	AAR2
NM_014902	DLGAP4
NM_006097	MYL9
NM_001199535	TGIF2-C20orf24
NM_001199515	TGIF2
NM_001199534	C20orf24
NM_032214	SLA2
NM_032013	NDRG3
NM_024918	DSN1
NM_080627	SOGA1
NM_080628	TLDC2
NM_015474	SAMHD1
NM_002895	RBL1
NM_152503	MROH8
NM_002951	RPN2
NM_021081	GHRH
NM_022077	MANBAL
NM_198291	SRC
NM_001167821	BLCAP
NM_005386	NNAT
NM_030877	CTNNBL1
NM_080607	VSTM2L
NM_014657	TTI1
NM_021215	RPRD1B
NM_004613	TGM2
NM_001029864	KIAA1755
NM_001725	BPI
NM_004139	LBP
NM_020336	RALGAPB
NM_001018082	ADIG
NM_001164431	ARHGAP40
NM_080552	SLC32A1
NM_024855	ACTR5
NM_015568	PPP1R16B
NM_030919	FAM83D
NM_021931	DHX35
NM_005461	MAFB
NM_003286	TOP1
NM_002660	PLCG1
NM_015035	ZHX3
NM_022896	LPIN3
NM_052846	EMILIN3
NM_032221	CHD6
NM_133170	PTPRT
NM_006275	SRSF6
NM_032107	L3MBTL1
NM_016276	SGK2
NM_016004	IFT52
NM_002466	MYBL2
NM_176791	GTSF1L
NM_001098797	TOX2
NM_020433	JPH2
NM_016470	OSER1
NM_001256737	GDAP1L1
NM_001080472	FITM2
NM_178491	R3HDML
NM_001258355	HNF4A
NM_001287807	C20orf62
NM_001039199	TTPAL
NM_006811	SERINC3
ENST00000597250	Z97053.1
NM_001281444	PKIG
NM_000022	ADA
NM_003881	WISP2
NM_022358	KCNK15
NM_001205317	RIMS4
NM_003404	YWHAB
NM_001124756	PABPC1L
NM_006809	TOMM34
NM_006282	STK4
NM_002251	KCNS1
NM_145652	WFDC5
NM_080869	WFDC12
NM_002638	PI3
NM_003007	SEMG1
NM_003008	SEMG2
NM_003064	SLPI
NM_003833	MATN4
NM_014276	RBPJL
NM_002999	SDC4
NM_033542	SYS1
ENST00000458187	SYS1-DBNDD2
NM_014477	TP53TG5
NM_018478	DBNDD2
NM_015937	PIGT
ENST00000595203	AL031663.2
ENST00000599747	AL031663.1
NM_006103	WFDC2
NM_006652	SPINT3
NM_080827	WFDC6
NM_001198986	EPPIN-WFDC6
NM_020398	EPPIN
NM_181510	WFDC8
NM_147198	WFDC9
NM_080753	WFDC10A
NM_147197	WFDC11
NM_172131	WFDC10B
NM_172005	WFDC13
NM_178455	SPINT4
NM_080614	WFDC3
NM_052951	DNTTIP1
NM_007019	UBE2C
NM_003279	TNNC2
NM_033421	SNX21
NM_005469	ACOT8
NM_080752	ZSWIM3
NM_080603	ZSWIM1
NM_080608	SPATA25
NM_080749	NEURL2
NM_000308	CTSA
NM_006227	PLTP
NM_022104	PCIF1
NM_022095	ZNF335
NM_004994	MMP9
NM_001134771	SLC12A5
NM_020967	NCOA5
NM_001250	CD40
NM_021248	CDH22
NM_001281458	SLC35C2
NM_182764	ELMO2
NM_018102	ZNF334
NM_080721	OCSTAMP
NM_022829	SLC13A3
NM_033550	TP53RK
NM_030777	SLC2A10
NM_005244	EYA2
NM_001281775	ZMYND8
ENST00000599904	AL031666.2
NM_181659	NCOA3
NM_018837	SULF2
NM_020820	PREX1
NM_006420	ARFGEF2
NM_001316	CSE1L
NM_017453	STAU1
NM_017895	DDX27
NM_021035	ZNFX1
NM_004975	KCNB1
NM_000961	PTGIS
NM_004776	B4GALT5
NM_001260491	SLC9A8
NM_006038	SPATA2
NM_018683	RNF114
NM_005985	SNAI1
NM_001257393	UBE2V1
NM_199203	TMEM189-UBE2V1
NM_199129	TMEM189
NM_005194	CEBPB
NM_001278655	LINC01272
NM_002827	PTPN1
NM_001290268	FAM65C
NM_032521	PARD6B
NM_017843	BCAS4
NM_181442	ADNP
NM_003859	DPM1
NM_014484	MOCS3
NM_002237	KCNG1
NM_173091	NFATC2
NM_006045	ATP9A
NM_020436	SALL4
NM_199427	ZFP64
NM_173485	TSHZ2
ENST00000439873	AL354993.1
NM_006526	ZNF217
NM_003657	BCAS1
NM_000782	CYP24A1
NM_002623	PFDN4
NM_018431	DOK5
NM_080617	CBLN4
NM_019888	MC3R
NM_080821	FAM210B
NM_198433	AURKA
NM_001033522	CSTF1
NM_001164116	CASS4
NM_001283035	RTFDC1
NM_080615	GCNT7
NM_001012971	FAM209A
NM_001013646	FAM209B
NM_003222	TFAP2C
NM_001719	BMP7
NM_012444	SPO11
NM_003610	RAE1
NM_001190472	MTRNR2L3
NM_001291780	RBM38
NM_001269043	CTCFL
NM_002591	PCK1
NM_030776	ZBP1
NM_020182	PMEPA1
NM_178456	C20orf85
ENST00000457363	ANKRD60
ENST00000334187	PPP4R1L
NM_020673	RAB22A
NM_004738	VAPB
NM_153360	APCDD1L
ENST00000598340	MGC4294
NM_001001433	STX16
ENST00000530122	STX16-NPEPL1
NM_024663	NPEPL1
NM_080425	GNAS
NM_198976	NELFCD
NM_001336	CTSZ
NM_030773	TUBB1
NM_006886	ATP5E
NM_016045	SLMO2
NM_178457	ZNF831
NM_000114	EDN3
NM_080672	PHACTR3
NM_014258	SYCP2
NM_006242	PPP1R3D
NM_001190826	FAM217B
NM_177980	CDH26
NM_173644	C20orf197
NM_001794	CDH4
ENST00000317652	RP11-429E11.3
NM_003185	TAF4
NM_144703	LSM14B
NM_002792	PSMA7
NM_198935	SS18L1
NM_015666	MTG2
NM_007232	HRH3
NM_144498	OSBPL2
NM_007002	ADRM1
NM_005560	LAMA5
NM_001024	RPS21
NM_031215	CABLES2
NM_080833	RBBP8NL
NM_080473	GATA5
NM_178463	C20orf166
ENST00000370520	RP11-93B14.6
NM_016354	SLCO4A1
NM_002531	NTSR1
NM_018270	MRGBP
NM_007346	OGFR
NM_001853	COL9A3
NM_006602	TCFL5
NM_080750	DPH3P1
NM_033081	DIDO1
NM_017896	GID8
NM_022082	SLC17A9
NM_080606	BHLHE23
NM_017798	YTHDF1
NM_139317	BIRC7
NM_152864	NKAIN4
NM_175609	ARFGAP1
NM_020882	COL20A1
NM_000744	CHRNA4
NM_172107	KCNQ2
NM_001958	EEF1A2
NM_024299	PPDPF
NM_005975	PTK6
NM_080823	SRMS
NM_024059	C20orf195
NM_001037335	HELZ2
NM_012384	GMEB2
NM_015894	STMN3
ENST00000482936	RTEL1-TNFRSF6B
NM_001283009	RTEL1
NM_003823	TNFRSF6B
NM_001267547	ARFRP1
NM_032527	ZGPAT
ENST00000490623	RP4-583P15.15
NM_017806	LIME1
ENST00000467211	RP4-583P15.14
NM_020062	SLC2A4RG
NM_025224	ZBTB46
ENST00000596861	AL158091.1
ENST00000601296	C20ORF135
NM_080622	ABHD16B
NM_199360	TPD52L2
NM_025219	DNAJC5
NM_017859	UCKL1
ENST00000595604	AL118506.1
NM_020713	ZNF512B
NM_080621	SAMD10
NM_012469	PRPF6
NM_018419	SOX18
NM_003195	TCEA2
NM_001039467	RGS19
NM_001007125	LKAAEAR1
ENST00000308906	C20orf201
NM_001200019	OPRL1
NM_005286	NPBWR2
NM_004535	MYT1
NM_018257	PCMTD2
ENST00000559480	IGHV1OR21-1
NM_199261	TPTE
NM_182482	BAGE2
NM_182481	BAGE3
NM_181704	BAGE4
NM_001187	BAGE
NM_182484	BAGE5
ENST00000540061	AL050302.1
NM_174981	POTED
ENST00000596508	AL050303.1
NM_198996	LIPI
NM_144770	RBM11
NM_006948	HSPA13
NM_001256370	SAMSN1
NM_001256579	LOC388813
ENST00000400562	AF165138.7
NM_003489	NRIP1
NM_001283041	USP25
ENST00000440664	C21orf37
NM_001207066	CXADR
NM_001130914	BTG3
NM_001100420	C21orf91
NM_024944	CHODL
NM_002772	TMPRSS15
NM_004540	NCAM2
NM_080794	MRPL39
NM_001270408	JAM2
NM_001003701	ATP5J
NM_001197297	GABPA
NM_000484	APP
NM_052954	CYYR1
NM_006988	ADAMTS1
NM_007038	ADAMTS5
NM_013240	N6AMT1
NM_015565	LTN1
NM_016940	RWDD2B
NM_001032410	USP16
NM_006585	CCT8
NM_020152	MAP3K7CL
NM_001186	BACH1
NM_000830	GRIK1
ENST00000333765	GRIK1-AS2
NM_012131	CLDN17
NM_199328	CLDN8
NM_001085455	KRTAP24-1
NM_001128598	KRTAP25-1
NM_203405	KRTAP26-1
NM_001077711	KRTAP27-1
NM_181624	KRTAP23-1
NM_181621	KRTAP13-2
NM_181599	KRTAP13-1
NM_181622	KRTAP13-3
NM_181600	KRTAP13-4
NM_181623	KRTAP15-1
NM_181607	KRTAP19-1
NM_181608	KRTAP19-2
NM_181609	KRTAP19-3
NM_181610	KRTAP19-4
NM_181611	KRTAP19-5
NM_181612	KRTAP19-6
NM_181614	KRTAP19-7
NM_001164434	KRTAP22-2
NM_181605	KRTAP6-3
NM_181604	KRTAP6-2
NM_181620	KRTAP22-1
NM_181602	KRTAP6-1
NM_181615	KRTAP20-1
ENST00000382828	KRTAP20-4
NM_181616	KRTAP20-2
NM_001128077	KRTAP20-3
NM_001164435	KRTAP21-3
NM_181617	KRTAP21-2
NM_181619	KRTAP21-1
NM_175857	KRTAP8-1
NM_181606	KRTAP7-1
NM_175858	KRTAP11-1
NM_001099219	KRTAP19-8
NM_003253	TIAM1
NM_000454	SOD1
NM_020706	SCAF4
NM_014586	HUNK
NM_018944	MIS18A
NM_178817	MRAP
NM_014825	URB1
ENST00000534991	C21orf119
NM_058187	EVA1C
NM_144659	TCP10L
ENST00000431216	AP000275.65
NM_021254	C21orf59
NM_003895	SYNJ1
NM_016631	PAXBP1
ENST00000382375	C21orf49
NM_001162496	C21orf62
NM_005806	OLIG2
NM_138983	OLIG1
ENST00000451980	C21orf54
NM_207585	IFNAR2
ENST00000433395	AP000295.9
NM_000628	IL10RB
NM_000629	IFNAR1
NM_005534	IFNGR2
NM_006134	TMEM50B
NM_001040192	DNAJC28
NM_000819	GART
NM_138927	SON
ENST00000595468	AP000304.1
NM_017613	DONSON
ENST00000429238	AP000304.12
NM_145858	CRYZL1
NM_003024	ITSN1
NM_001697	ATP5O
NM_001288961	LOC400863
NM_032476	MRPS6
NM_006933	SLC5A3
NM_172201	KCNE2
NM_058182	SMIM11
NM_001282537	C21orf140
ENST00000450895	AP000322.53
NM_000219	KCNE1
NM_001285391	RCAN1
NM_053277	CLIC6
NM_001754	RUNX1
ENST00000599809	FKSG68
ENST00000600312	AP000688.1
NM_017438	SETD4
NM_001757	CBR1
NM_001236	CBR3
NM_005128	DOPEY2
NM_015358	MORC3
NM_005441	CHAF1B
NM_001146077	CLDN14
ENST00000595927	AP000695.1
NM_005069	SIM2
NM_000411	HLCS
NM_018962	RIPPLY3
NM_153681	PIGP
NM_003316	TTC3
NM_006052	DSCR3
NM_001396	DYRK1A
ENST00000597817	AP001421.1
NM_002240	KCNJ6
NM_005867	DSCR4
ENST00000357704	DSCR8
NM_001276435	KCNJ15
NM_001243428	ERG
NM_001256295	ETS2
NM_003720	PSMG1
NM_018963	BRWD1
NM_004965	HMGN1
NM_004627	WRB
NM_152505	LCA5L
NM_007341	SH3BGR
ENST00000380612	C21orf88
NM_033172	B3GALT5
NM_001080444	IGSF5
NM_006198	PCP4
NM_001389	DSCAM
NM_012105	BACE2
NM_182832	PLAC4
NM_058186	FAM3B
NM_002463	MX2
NM_002462	MX1
NM_001135099	TMPRSS2
NM_020639	RIPK4
NM_022115	PRDM15
NM_015500	C2CD2
NM_001098402	ZBTB21
NM_173568	UMODL1
ENST00000329015	C21orf128
NM_004915	ABCG1
NM_003226	TFF3
NM_005423	TFF2
NM_003225	TFF1
NM_024022	TMPRSS3
NM_018961	UBASH3A
NM_080860	RSPH1
NM_018964	SLC37A1
NM_002606	PDE9A
NM_033661	WDR4
NM_021075	NDUFV3
NM_004571	PKNOX1
NM_000071	CBS
NM_001025203	U2AF1
ENST00000433840	AP001631.10
NM_000394	CRYAA
NM_173354	SIK1
NM_007031	HSF2BP
NM_015056	RRP1B
NM_003681	PDXK
NM_000100	CSTB
NM_003683	RRP1
NM_001037553	AGPAT3
NM_003274	TRAPPC10
NM_005049	PWP2
NM_004649	C21orf33
ENST00000598764	AP001055.1
NM_001283050	ICOSLG
NM_013369	DNMT3L
NM_000383	AIRE
NM_001002021	PFKL
NM_001271441	C21orf2
NM_003307	TRPM2
NM_030891	LRRC3
ENST00000596691	LRRC3DN
NM_144991	TSPEAR
ENST00000330490	C21orf90
NM_198691	KRTAP10-1
NM_198693	KRTAP10-2
NM_198696	KRTAP10-3
NM_198687	KRTAP10-4
NM_198694	KRTAP10-5
NM_198688	KRTAP10-6
NM_198689	KRTAP10-7
NM_198695	KRTAP10-8
NM_198690	KRTAP10-9
NM_181688	KRTAP10-10
NM_198692	KRTAP10-11
NM_198698	KRTAP12-4
NM_198697	KRTAP12-3
NM_181684	KRTAP12-2
NM_181686	KRTAP12-1
NM_198699	KRTAP10-12
NM_003343	UBE2G2
NM_001286416	SUMO3
NM_004339	PTTG1IP
NM_001127491	ITGB2
ENST00000397841	C21orf67
NM_058190	FAM207A
ENST00000599569	AP001579.1
ENST00000600921	PRED57
ENST00000596207	PRED58
NM_015833	ADARB1
NM_133635	POFUT2
NM_030582	COL18A1
NM_194255	SLC19A1
ENST00000601068	PRED60
NM_020528	PCBP3
ENST00000593412	PRED62
NM_001848	COL6A1
NM_001849	COL6A2
NM_006657	FTCD
NM_001142854	SPATC1L
NM_002340	LSS
ENST00000594486	AP001468.1
NM_003906	MCM3AP
NM_058181	YBEY
NM_058180	C21orf58
NM_006031	PCNT
NM_015151	DIP2A
NM_006272	S100B
NM_206962	PRMT2
NM_001136213	POTEH
NM_001005239	OR11H1
NM_014406	CCT8L2
NM_175878	XKR3
NM_001037814	GAB4
NM_014339	IL17RA
NM_031890	CECR6
ENST00000441544	AC006946.15
NM_033070	CECR5
NM_001282225	CECR1
NM_001290047	CECR2
NM_031481	SLC25A18
NM_001288707	LOC101929372
NM_001696	ATP6V1E1
NM_001270726	BCL2L13
NM_197966	BID
NM_015241	MICAL3
NM_017929	PEX26
NM_018943	TUBA8
NM_017414	USP18
ENST00000342888	AC008132.1
ENST00000342005	AC008132.13
NM_005675	DGCR6
NM_016335	PRODH
NM_005137	DGCR2
NM_053006	TSSK2
NM_022719	DGCR14
NM_005315	GSC2
NM_005984	SLC25A1
NM_007098	CLTCL1
NM_003325	HIRA
NM_003776	MRPL40
NM_173793	C22orf39
NM_005659	UFD1L
NM_001178010	CDC45
NM_003277	CLDN5
NM_002688	SEPT5
NM_000407	GP1BB
NM_080647	TBX1
NM_053004	GNB1L
NM_024627	C22orf29
NM_006440	TXNRD2
NM_000754	COMT
NM_001670	ARVCF
NM_001283129	TANGO2
NM_022720	DGCR8
NM_182984	TRMT2A
NM_001278639	RANBP1
NM_001185024	ZDHHC8
NM_001243537	LOC388849
ENST00000439765	AC006547.14
NM_023004	RTN4R
NM_033257	DGCR6L
ENST00000424787	GGTLC3
NM_001242313	TMEM191B
NM_015672	RIMBP3
ENST00000434783	FAM230A
ENST00000454608	USP41
NM_001256524	ZNF74
NM_153334	SCARF2
NM_032775	KLHL22
NM_001003891	MED15
NM_058004	PI4KA
NM_000185	SERPIND1
NM_004782	SNAP29
NM_005207	CRKL
NM_144704	AIFM3
NM_006767	LZTR1
NM_030573	THAP7
ENST00000547793	AC002472.1
NM_005446	P2RX6
NM_004173	SLC7A4
NM_001291006	LOC400891
ENST00000342608	AC002472.13
ENST00000329949	POM121L7
ENST00000401924	GGT2
NM_001128635	RIMBP3B
NM_001128633	RIMBP3C
NM_015094	HIC2
NM_001207052	TMEM191C
NM_001256355	UBE2L3
NM_001017964	YDJC
NM_152612	CCDC116
NM_022044	SDF2L1
NM_148176	PPIL2
NM_013313	YPEL1
NM_138957	MAPK1
NM_014634	PPM1F
NM_001282113	TOP3B
ENST00000390282	IGLV4-69
ENST00000390283	IGLV8-61
ENST00000390284	IGLV4-60
ENST00000390285	IGLV6-57
ENST00000390286	IGLV11-55
ENST00000390287	IGLV10-54
NM_007128	VPREB1
ENST00000390289	IGLV5-52
ENST00000390290	IGLV1-51
ENST00000390291	IGLV1-50
ENST00000427632	IGLV9-49
ENST00000390293	IGLV5-48
ENST00000390294	IGLV1-47
ENST00000390295	IGLV7-46
ENST00000390296	IGLV5-45
ENST00000390297	IGLV1-44
ENST00000390298	IGLV7-43
ENST00000390299	IGLV1-40
ENST00000390300	IGLV5-37
ENST00000390301	IGLV1-36
NM_080764	ZNF280B
NM_080740	ZNF280A
NM_001291715	PRAME
ENST00000407120	LL22NC03-63E9.3
ENST00000390302	IGLV2-33
ENST00000390303	IGLV3-32
NM_001282879	GGTLC2
ENST00000390304	IGLV3-27
ENST00000390305	IGLV3-25
ENST00000390306	IGLV2-23
ENST00000390307	IGLV3-22
ENST00000390308	IGLV3-21
ENST00000390309	IGLV3-19
ENST00000390310	IGLV2-18
ENST00000390311	IGLV3-16
ENST00000390312	IGLV2-14
ENST00000390313	IGLV3-12
ENST00000390314	IGLV2-11
ENST00000390315	IGLV3-10
ENST00000390316	IGLV3-9
ENST00000390317	IGLV2-8
ENST00000390318	IGLV4-3
ENST00000390319	IGLV3-1
NM_001178126	IGLL5
ENST00000390320	IGLJ1
ENST00000390321	IGLC1
ENST00000390322	IGLJ2
ENST00000390323	IGLC2
ENST00000390324	IGLJ3
ENST00000390325	IGLC3
ENST00000390326	IGLJ4
ENST00000390327	IGLJ5
ENST00000390328	IGLJ6
ENST00000390330	IGLJ7
ENST00000390331	IGLC7
NM_014433	RTDR1
